"ID"|"Line"|"Link"|"Type"|"Message"
00001|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00001|52|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java#L52"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00002|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00002|52|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java#L52"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00003|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00003|52|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java#L52"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00004|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00004|52|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L52"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00004|67|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L67"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.
00005|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00006|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00007|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00008|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00009|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00009.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00010|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00011|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00012|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00012|56|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java#L56"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00013|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00013|54|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java#L54"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00014|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00014|54|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java#L54"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00015|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00016|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00016.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00017|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00018|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00019|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00020|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00021|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00021|49|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java#L49"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00022|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00022.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00023|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00024|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00025|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00026|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00027|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00028|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00029|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00029.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00030|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00030|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
